"threshold","f1score","precision","recall"
0.01,0.115589353612167,0.0613397901533495,1
0.0148717948717949,0.143059156257365,0.077050012693577,0.998355263157895
0.0197435897435897,0.178078166323832,0.0977734753146176,0.996710526315789
0.0246153846153846,0.221937374107306,0.124871213682258,0.996710526315789
0.0294871794871795,0.271779347460478,0.157341295599117,0.996710526315789
0.0343589743589744,0.327735644637053,0.196173800259403,0.995065789473684
0.0392307692307692,0.395280235988201,0.246827670896439,0.991776315789474
0.0441025641025641,0.4703125,0.308401639344262,0.990131578947368
0.048974358974359,0.541516245487365,0.373134328358209,0.986842105263158
0.0538461538461538,0.61744966442953,0.449962377727615,0.983552631578947
0.0587179487179487,0.692931633835458,0.534883720930233,0.983552631578947
0.0635897435897436,0.756825396825397,0.616339193381593,0.980263157894737
0.0684615384615385,0.814207650273224,0.696261682242991,0.980263157894737
0.0733333333333333,0.847701149425288,0.752551020408163,0.970394736842105
0.0782051282051282,0.892261001517451,0.828169014084507,0.967105263157895
0.0830769230769231,0.913213448006255,0.870342771982116,0.960526315789474
0.0879487179487179,0.934189406099518,0.912225705329154,0.957236842105263
0.0928205128205128,0.942229454841334,0.932367149758454,0.952302631578947
0.0976923076923077,0.948760330578512,0.953488372093023,0.944078947368421
0.102564102564103,0.950627615062761,0.96763202725724,0.934210526315789
0.107435897435897,0.946745562130177,0.973913043478261,0.921052631578947
0.112307692307692,0.942078364565588,0.977031802120141,0.909539473684211
0.117179487179487,0.937231298366294,0.981981981981982,0.896381578947368
0.122051282051282,0.934839270199826,0.990791896869245,0.884868421052632
0.126923076923077,0.924428822495606,0.992452830188679,0.865131578947368
0.131794871794872,0.912811387900356,0.994186046511628,0.84375
0.136666666666667,0.904847396768402,0.99604743083004,0.828947368421053
0.141538461538462,0.897737556561086,0.997987927565392,0.815789473684211
0.146410256410256,0.874306839186691,0.99789029535865,0.777960526315789
0.151282051282051,0.84985835694051,0.997782705099778,0.740131578947368
0.156153846153846,0.829971181556196,0.997690531177829,0.710526315789474
0.161025641025641,0.8125,1,0.684210526315789
0.165897435897436,0.785214785214785,1,0.646381578947368
0.170769230769231,0.759183673469388,1,0.611842105263158
0.175641025641026,0.737279335410177,1,0.583881578947368
0.180512820512821,0.710498409331919,1,0.550986842105263
0.185384615384615,0.685405405405405,1,0.521381578947368
0.19025641025641,0.656353591160221,1,0.488486842105263
0.195128205128205,0.624434389140271,1,0.453947368421053
0.2,0.592592592592593,1,0.421052631578947
