"threshold","f1score","precision","recall"
0.01,0.283391405342625,0.18442932728647,0.611528822055138
0.0148717948717949,0.336408800567779,0.234653465346535,0.593984962406015
0.0197435897435897,0.376740376740377,0.279805352798054,0.576441102756892
0.0246153846153846,0.410207939508507,0.329286798179059,0.543859649122807
0.0294871794871795,0.438034188034188,0.381750465549348,0.513784461152882
0.0343589743589744,0.464622641509434,0.438752783964365,0.493734335839599
0.0392307692307692,0.479057591623037,0.501369863013699,0.458646616541353
0.0441025641025641,0.487323943661972,0.556270096463023,0.433583959899749
0.048974358974359,0.495468277945619,0.623574144486692,0.411027568922306
0.0538461538461538,0.481658692185008,0.662280701754386,0.378446115288221
0.0587179487179487,0.451612903225806,0.7,0.333333333333333
0.0635897435897436,0.428318584070796,0.728915662650602,0.303258145363409
0.0684615384615385,0.411764705882353,0.772413793103448,0.280701754385965
0.0733333333333333,0.401515151515151,0.821705426356589,0.265664160401002
0.0782051282051282,0.372549019607843,0.855855855855856,0.238095238095238
0.0830769230769231,0.354124748490946,0.897959183673469,0.220551378446115
0.0879487179487179,0.33469387755102,0.901098901098901,0.205513784461153
0.0928205128205128,0.308977035490605,0.925,0.18546365914787
0.0976923076923077,0.287526427061311,0.918918918918919,0.170426065162907
0.102564102564103,0.259179265658747,0.9375,0.150375939849624
0.107435897435897,0.225165562913907,0.944444444444444,0.12781954887218
0.112307692307692,0.194130925507901,0.977272727272727,0.107769423558897
0.117179487179487,0.1859410430839,0.976190476190476,0.102756892230576
0.122051282051282,0.15668202764977,0.971428571428571,0.0852130325814536
0.126923076923077,0.135514018691589,1,0.0726817042606516
0.131794871794872,0.117924528301887,1,0.06265664160401
0.136666666666667,0.0909090909090909,1,0.0476190476190476
0.141538461538462,0.072463768115942,1,0.037593984962406
0.146410256410256,0.0488997555012225,1,0.025062656641604
0.151282051282051,0.0247524752475248,1,0.012531328320802
0.156153846153846,0.0198511166253102,1,0.0100250626566416
0.161025641025641,0.00997506234413965,1,0.0050125313283208
0.165897435897436,0.005,1,0.0025062656641604
0.170769230769231,0,0,0
0.175641025641026,0,0,0
0.180512820512821,0,0,0
0.185384615384615,0,0,0
0.19025641025641,0,0,0
0.195128205128205,0,0,0
0.2,0,0,0
