"threshold","f1score","precision","recall"
0.01,0.0213187637259628,0.010774228478614,1
0.0353846153846154,0.025452376217936,0.0128962923159592,0.964824120603015
0.0607692307692308,0.0317433516251583,0.016142881676112,0.944723618090452
0.0861538461538462,0.041200575922029,0.0210645526613817,0.934673366834171
0.111538461538462,0.054368932038835,0.0280172413793103,0.914572864321608
0.136923076923077,0.0713242961418144,0.0372062663185379,0.85929648241206
0.162307692307692,0.0960620525059666,0.0510624801776086,0.809045226130653
0.187692307692308,0.130856901646264,0.0714285714285714,0.778894472361809
0.213076923076923,0.169988276670574,0.0962176509621765,0.728643216080402
0.238461538461538,0.221122112211221,0.132280355380059,0.673366834170854
0.263846153846154,0.277966101694915,0.17930029154519,0.618090452261307
0.289230769230769,0.309985096870343,0.220338983050847,0.522613065326633
0.314615384615385,0.327868852459016,0.257142857142857,0.452261306532663
0.34,0.333333333333333,0.28996282527881,0.391959798994975
0.365384615384615,0.340632603406326,0.330188679245283,0.351758793969849
0.390769230769231,0.341333333333333,0.363636363636364,0.321608040201005
0.416153846153846,0.337142857142857,0.390728476821192,0.296482412060302
0.441538461538462,0.311377245508982,0.385185185185185,0.261306532663317
0.466923076923077,0.292063492063492,0.396551724137931,0.231155778894472
0.492307692307692,0.281879194630873,0.424242424242424,0.21105527638191
0.517692307692308,0.275862068965517,0.43956043956044,0.201005025125628
0.543076923076923,0.261484098939929,0.44047619047619,0.185929648241206
0.568461538461538,0.257352941176471,0.479452054794521,0.175879396984925
0.593846153846154,0.24812030075188,0.492537313432836,0.165829145728643
0.619230769230769,0.24124513618677,0.53448275862069,0.155778894472362
0.644615384615385,0.239043824701195,0.576923076923077,0.150753768844221
0.67,0.224899598393574,0.56,0.14070351758794
0.695384615384615,0.211382113821138,0.553191489361702,0.130653266331658
0.720769230769231,0.213114754098361,0.577777777777778,0.130653266331658
0.746153846153846,0.200836820083682,0.6,0.120603015075377
0.771538461538462,0.194915254237288,0.621621621621622,0.115577889447236
0.796923076923077,0.196581196581197,0.657142857142857,0.115577889447236
0.822307692307692,0.196581196581197,0.657142857142857,0.115577889447236
0.847692307692308,0.173913043478261,0.645161290322581,0.100502512562814
0.873076923076923,0.174672489082969,0.666666666666667,0.100502512562814
0.898461538461538,0.174672489082969,0.666666666666667,0.100502512562814
0.923846153846154,0.176211453744493,0.714285714285714,0.100502512562814
0.949230769230769,0.169642857142857,0.76,0.0954773869346734
0.974615384615385,0.170403587443946,0.791666666666667,0.0954773869346734
1,0.170403587443946,0.791666666666667,0.0954773869346734
