"V1","V2","V3","V4","V5","V6","V7","V8","V9","V10"
0.471571906354515,0.397993311036789,0.561872909698997,0.565217391304348,0.505016722408027,0.387959866220736,0.658862876254181,0.602006688963211,0.568561872909699,0.160535117056856
0.481605351170569,0.478260869565217,0.575250836120401,0.622073578595318,0.655518394648829,0.434782608695652,0.62876254180602,0.622073578595318,0.625418060200669,0.411371237458194
0.585284280936455,0.42809364548495,0.588628762541806,0.765886287625418,0.658862876254181,0.505016722408027,0.645484949832776,0.625418060200669,0.625418060200669,0.498327759197324
0.688963210702341,0.474916387959866,0.672240802675585,0.792642140468227,0.645484949832776,0.588628762541806,0.72742474916388,0.729096989966555,0.745819397993311,0.608695652173913
0.94314381270903,0.949832775919732,0.916387959866221,0.979933110367893,0.969899665551839,0.959866220735786,0.933110367892977,0.903010033444816,0.926421404682274,0.933110367892977
0.94314381270903,0.949832775919732,0.916387959866221,0.979933110367893,0.969899665551839,0.959866220735786,0.933110367892977,0.903010033444816,0.926421404682274,0.933110367892977
0,0,0,0.103678929765886,0,0,0,0,0,0
0.110367892976589,0.668896321070234,0.642140468227425,0.20066889632107,0.163879598662207,0.705685618729097,0.62876254180602,0.62876254180602,0.110367892976589,0.150501672240803
0.779264214046823,0.45819397993311,0.672240802675585,0.729096989966555,0.692307692307692,0.54180602006689,0.600334448160535,0.488294314381271,0.625418060200669,0.548494983277592
0.147157190635452,0.133779264214047,0.157190635451505,0.270903010033445,0.1438127090301,0.180602006688963,0.230769230769231,0.0936454849498328,0.110367892976589,0.167224080267559
0.150501672240803,0.130434782608696,0.157190635451505,0.528428093645485,0.150501672240803,0.224080267558528,0.230769230769231,0.0903010033444816,0.110367892976589,0.173913043478261
