"V1","V2","V3","V4","V5","V6","V7","V8","V9","V10"
0.230392156862745,0.154746423927178,0.130131680867545,0.515243902439024,0.294346978557505,0.192691029900332,0.103195390256679,0.142517814726841,0.153291253381425,0.695652173913043
0.204255319148936,0.119216340141726,0.105230957479351,0.4,0.18369259606373,0.161892901618929,0.0846846846846847,0.118963863127598,0.128434065934066,0.140571428571429
0.207345971563981,0.154031287605295,0.175124378109453,0.271971496437055,0.240243902439024,0.175785797438882,0.174187725631769,0.20042872454448,0.197465681098205,0.168171557562077
0.129682090022033,0.174984596426371,0.116860465116279,0.239514906518444,0.237246465888138,0.133891213389121,0.124250214224507,0.120909595119246,0.112370874275636,0.135115070527097
0.0070448924529716,0.0070830007980846,0.00679394991321597,0.00731366382107733,0.00723643169058016,0.00716693719565489,0.00690901886979347,0.00671708627724152,0.00689930010710105,0.00696038319528989
0.0070448924529716,0.0070830007980846,0.00679394991321597,0.00731366382107733,0.00723643169058016,0.00716693719565489,0.00690901886979347,0.00671708627724152,0.00689930010710105,0.00696038319528989
0,0,0,0.96875,0,0,0,0,0,0
0.970588235294118,0.00844238075137189,0.00927984533591107,0.952380952380952,0.80327868852459,0.00870713489869187,0.00958645658049054,0.00828704928149519,0.970588235294118,1
0.0722032847846297,0.125343092406221,0.0871072589382448,0.416826003824092,0.195467422096317,0.122727272727273,0.193322563274098,0.36318407960199,0.194791666666667,0.122342409548676
0.814814814814815,0.833333333333333,0.92156862745098,0.880434782608696,0.781818181818182,0.805970149253731,0.92,1,0.825,0.847457627118644
0.803571428571429,0.886363636363636,0.94,0.835978835978836,0.833333333333333,0.728260869565217,0.907894736842105,1,0.868421052631579,0.8
