"V1","V2","V3","V4","V5"
0.842607313195548,0.85958904109589,0.802758620689655,0.880701754385965,0.776725304465494
0.768809849521204,0.669047619047619,0.745294855708908,0.819018404907976,0.658092175777063
0.656851642129105,0.722860791826309,0.700650759219089,0.677261613691931,0.722222222222222
0.396335256192738,0.635955056179775,0.594519275429633,0.373493975903614,0.447793326157158
0.794520547945205,0.717557251908397,0.691065662002153,0.808259587020649,0.584269662921348
0.625267665952891,0.521178637200737,0.523151909017059,0.614872364039956,0.584269662921348
0.94077834179357,0,0,0,0.953301127214171
0.109512240702672,0.10962618632578,0.120963225686018,0.101196953210011,0.117383177570093
0.914927768860353,0.96969696969697,0.9472,0.954792043399638,0.952086553323029
0.929530201342282,0.933560477001704,0.912280701754386,0.880478087649402,0.594235033259424
0.928825622775801,0.945762711864407,0.931952662721893,0.908023483365949,0.579775280898876
