"V1","V2","V3","V4","V5"
0.602739726027397,0.521276595744681,0.728643216080402,0.511194029850746,0.473867595818815
0.440894568690096,0.404332129963899,0.474777448071217,0.396011396011396,0.387005649717514
0.537593984962406,0.456204379562044,0.621722846441948,0.562992125984252,0.539622641509434
0.286002014098691,0.273333333333333,0.412935323383085,0.326111744583808,0.377158034528552
0.392857142857143,0.345205479452055,0.328712871287129,0.408571428571429,0.0575079872204473
0.250877192982456,0.225,0.229916897506925,0.254448398576512,0.0575079872204473
0,0.947368421052632,0.779904306220096,0.873417721518987,0
0.0943643512450852,0.0808210391276459,0.111559139784946,0.0948905109489051,0.100769769069279
0.813953488372093,0.838028169014085,0.872340425531915,0.879746835443038,0.802325581395349
0.677884615384615,0.935779816513762,0.879120879120879,0.894736842105263,0.92
0.808139534883721,0.98,0.929411764705882,0.924528301886792,0.958333333333333
