"V1","V2","V3","V4","V5"
0.824324324324324,0.756849315068493,0.77972027972028,0.814432989690722,0.855172413793103
0.915540540540541,0.931506849315068,0.965034965034965,0.962199312714777,0.93448275862069
0.966216216216216,0.928082191780822,0.958041958041958,0.965635738831615,0.968965517241379
0.972972972972973,0.962328767123288,0.968531468531469,0.962199312714777,0.96551724137931
0.918918918918919,0.86986301369863,0.940559440559441,0.917525773195876,0.993103448275862
0.932432432432432,0.914383561643836,0.961538461538462,0.9553264604811,0.993103448275862
0,0,0,0,0.110344827586207
0.993243243243243,0.900684931506849,0.989510489510489,0.969072164948454,0.510344827586207
0.942567567567568,0.89041095890411,0.916083916083916,0.948453608247423,0.917241379310345
0.837837837837838,0.458904109589041,0.916083916083916,0.824742268041237,0.124137931034483
0.817567567567568,0.527397260273973,0.93006993006993,0.876288659793814,0.210344827586207
