"V1","V2","V3","V4","V5"
0.957446808510638,0.5,0.407738095238095,0.371158392434988,0.736842105263158
0.078080229226361,0.102862254025045,0.318906605922551,0.32387706855792,0.192622950819672
0.15609756097561,0.219796215429403,0.329159212880143,0.313758389261745,0.27906976744186
0.192878338278932,0.138107416879795,0.220657276995305,0.211869107043816,0.253920836445108
0.0167712920453481,0.302272727272727,0.66079295154185,0.568493150684932,0.558951965065502
0.0167712920453481,0.19672131147541,0.429268292682927,0.444723618090452,0.440729483282675
0,0.967213114754098,0,0,1
1,0.905405405405405,0.0291506362829239,0.028914590747331,0.0272459499263623
0.236180904522613,0.651515151515151,0.718181818181818,0.682203389830508,0.672222222222222
0.876923076923077,0.871794871794872,0.836206896551724,1,0.984375
1,0.917808219178082,0.969072164948454,0.981818181818182,0.943661971830986
