"V1","V2","V3","V4","V5"
0.382059800664452,0.316397228637413,0.25,0.368638239339752,0.591304347826087
0.34593023255814,0.28051391862955,0.199658703071672,0.304914744232698,0.528548123980424
0.358839050131926,0.348148148148148,0.302483069977427,0.400500625782228,0.475300400534045
0.338296605122096,0.252019386106624,0.249578414839798,0.241451500348918,0.455632473253619
0.507739938080495,0.0243981571604698,0.0233626962849483,0.558823529411765,0.744186046511628
0.55012853470437,0.0243981571604698,0.0233626962849483,0.540983606557377,0.734883720930233
0,0,0,0.275862068965517,0
0.275862068965517,0.247863247863248,0.283261802575107,0.374501992031873,0.726477024070022
0.184380504991192,0.348048624440179,0.298765432098765,0.398009950248756,0.769230769230769
0.279835390946502,0.245762711864407,0.307053941908714,0.365079365079365,0.612794612794613
0.344,0.238938053097345,0.283261802575107,0.348178137651822,0.767441860465116
