"V1","V2","V3","V4","V5"
0.285359801488834,0.205397301349325,0.507692307692308,0.253787878787879,0.521072796934866
0.243353783231084,0.178231292517007,0.120246659815005,0.19047619047619,0.391304347826087
0.243291592128801,0.230769230769231,0.195050946142649,0.266666666666667,0.323636363636364
0.221701795472287,0.150144369586141,0.149949341438703,0.140194489465154,0.303946263643997
0.661290322580645,0.0123586642124638,0.0118316415594492,0.545454545454545,0.765957446808511
0.563157894736842,0.0123586642124638,0.0118316415594492,0.456747404844291,0.683982683982684
0,0,0,0.96969696969697,0
0.96969696969697,0.828571428571429,0.970588235294118,0.903846153846154,0.643410852713178
0.10438829787234,0.233476394849785,0.198036006546645,0.264462809917355,0.888157894736842
0.772727272727273,0.783783783783784,0.880952380952381,0.867924528301887,0.928571428571429
0.843137254901961,1,0.970588235294118,0.895833333333333,0.910344827586207
